Date;Year;Month_Number;Month_Name;Month_Name_FR;Quarter_Number;Quarter_Label;PI_Planning;Week_Number;Day_Number;Day_Name;Day_Name_FR;Day_Of_Week;Is_Weekend;Is_Weekday;Semester;Year_Month;Year_Week
01/06/2025;2025;6;June;Juin;2;Q2 2025;2025 - Q2 - DPF - PI Planning;22;1;Sunday;Dimanche;7;YES;NO;S1;2025-06;2025-W22
02/06/2025;2025;6;June;Juin;2;Q2 2025;2025 - Q2 - DPF - PI Planning;23;2;Monday;Lundi;1;NO;YES;S1;2025-06;2025-W23
03/06/2025;2025;6;June;Juin;2;Q2 2025;2025 - Q2 - DPF - PI Planning;23;3;Tuesday;Mardi;2;NO;YES;S1;2025-06;2025-W23
04/06/2025;2025;6;June;Juin;2;Q2 2025;2025 - Q2 - DPF - PI Planning;23;4;Wednesday;Mercredi;3;NO;YES;S1;2025-06;2025-W23
05/06/2025;2025;6;June;Juin;2;Q2 2025;2025 - Q2 - DPF - PI Planning;23;5;Thursday;Jeudi;4;NO;YES;S1;2025-06;2025-W23
06/06/2025;2025;6;June;Juin;2;Q2 2025;2025 - Q2 - DPF - PI Planning;23;6;Friday;Vendredi;5;NO;YES;S1;2025-06;2025-W23
07/06/2025;2025;6;June;Juin;2;Q2 2025;2025 - Q2 - DPF - PI Planning;23;7;Saturday;Samedi;6;YES;NO;S1;2025-06;2025-W23
08/06/2025;2025;6;June;Juin;2;Q2 2025;2025 - Q2 - DPF - PI Planning;23;8;Sunday;Dimanche;7;YES;NO;S1;2025-06;2025-W23
09/06/2025;2025;6;June;Juin;2;Q2 2025;2025 - Q2 - DPF - PI Planning;24;9;Monday;Lundi;1;NO;YES;S1;2025-06;2025-W24
10/06/2025;2025;6;June;Juin;2;Q2 2025;2025 - Q2 - DPF - PI Planning;24;10;Tuesday;Mardi;2;NO;YES;S1;2025-06;2025-W24
11/06/2025;2025;6;June;Juin;2;Q2 2025;2025 - Q2 - DPF - PI Planning;24;11;Wednesday;Mercredi;3;NO;YES;S1;2025-06;2025-W24
12/06/2025;2025;6;June;Juin;2;Q2 2025;2025 - Q2 - DPF - PI Planning;24;12;Thursday;Jeudi;4;NO;YES;S1;2025-06;2025-W24
13/06/2025;2025;6;June;Juin;2;Q2 2025;2025 - Q2 - DPF - PI Planning;24;13;Friday;Vendredi;5;NO;YES;S1;2025-06;2025-W24
14/06/2025;2025;6;June;Juin;2;Q2 2025;2025 - Q2 - DPF - PI Planning;24;14;Saturday;Samedi;6;YES;NO;S1;2025-06;2025-W24
15/06/2025;2025;6;June;Juin;2;Q2 2025;2025 - Q2 - DPF - PI Planning;24;15;Sunday;Dimanche;7;YES;NO;S1;2025-06;2025-W24
16/06/2025;2025;6;June;Juin;2;Q2 2025;2025 - Q2 - DPF - PI Planning;25;16;Monday;Lundi;1;NO;YES;S1;2025-06;2025-W25
17/06/2025;2025;6;June;Juin;2;Q2 2025;2025 - Q2 - DPF - PI Planning;25;17;Tuesday;Mardi;2;NO;YES;S1;2025-06;2025-W25
18/06/2025;2025;6;June;Juin;2;Q2 2025;2025 - Q2 - DPF - PI Planning;25;18;Wednesday;Mercredi;3;NO;YES;S1;2025-06;2025-W25
